    Ticket_ID,Month,Region,Network_Type,Issue_Type,Priority,Service_Status,Response_Time_hrs,Resolution_Time_hrs,CSAT_Rating
    TKT-0882,Jan,South Zone,TV,Service Outage,Medium,Escalated,7.86,40.96,3.75
    TKT-0883,Feb,West Zone,Mobile,Service Outage,Low,Escalated,9.55,51.46,3.49
    TKT-0884,Feb,Central Zone,Broadband,Installation Delay,Medium,SLA Breached,14.79,37.57,3.7
    TKT-0885,Dec,North Zone,TV,Service Outage,Low,SLA Breached,17.06,52.5,3.32
    TKT-0886,Aug,Central Zone,Broadband,Service Outage,High,In Progress,11.78,28.92,4.11
    TKT-0887,Mar,South Zone,TV,Dropped Calls,Medium,SLA Breached,15.48,40.17,3.19
    TKT-0888,Feb,East Zone,Landline,No Signal,Low,Resolved,7.45,45.73,3.56
    TKT-0889,May,East Zone,Landline,Installation Delay,Low,SLA Breached,17.73,72.16,2.38
    TKT-0890,Sep,North Zone,Landline,Slow Internet,High,Resolved,13.66,56.05,3.42
    TKT-0891,Oct,East Zone,Broadband,Dropped Calls,High,SLA Breached,10.39,24.46,4.34
    TKT-0892,Sep,North Zone,Broadband,Slow Internet,Low,In Progress,13.07,48.51,4.26
    TKT-0893,Oct,North Zone,Landline,Service Outage,High,In Progress,14.97,30.23,3.41
    TKT-0894,Jul,West Zone,Landline,Service Outage,High,Escalated,15.47,38.88,3.15
    TKT-0895,Nov,West Zone,TV,No Signal,Low,Escalated,18.81,77.23,3.4
    TKT-0896,Jul,West Zone,Broadband,Billing Error,High,In Progress,12.05,44.82,3.04
    TKT-0897,Dec,West Zone,TV,Slow Internet,Medium,SLA Breached,14.23,33.86,3.24
    TKT-0898,Sep,Central Zone,TV,Dropped Calls,High,Escalated,19.22,31.9,3.22
    TKT-0899,Jun,Central Zone,Broadband,Billing Error,Low,Resolved,14.68,69.28,3.09
    TKT-0900,Jul,Central Zone,TV,Installation Delay,Medium,In Progress,14.73,61.09,2.72
    TKT-0901,Jan,North Zone,Mobile,Billing Error,Medium,In Progress,17.74,49.92,3.32
    TKT-0902,Nov,Central Zone,Mobile,Billing Error,High,SLA Breached,18.33,44.78,3.09
    TKT-0903,Jun,Central Zone,Broadband,Slow Internet,Medium,Escalated,10.28,63.11,3.82
    TKT-0904,Oct,West Zone,Landline,Slow Internet,Low,In Progress,16.96,40.43,3.61
    TKT-0905,Dec,East Zone,Landline,No Signal,Medium,In Progress,13.8,28.95,4.04
    TKT-0906,Sep,South Zone,Landline,Service Outage,Low,Escalated,8.78,43.32,3.4
    TKT-0907,May,West Zone,Mobile,No Signal,High,Escalated,6.72,23.03,4.8
    TKT-0908,Aug,East Zone,Landline,No Signal,Medium,Escalated,7.16,67.13,3.46
    TKT-0909,Jun,North Zone,TV,No Signal,Medium,SLA Breached,17.62,77.46,3.37
    TKT-0910,Aug,North Zone,Broadband,No Signal,Low,In Progress,15.28,74.37,3.21
    TKT-0911,Dec,North Zone,TV,Installation Delay,Low,SLA Breached,15.53,68.13,3.48
    TKT-0912,Jan,West Zone,TV,Installation Delay,Low,In Progress,16.95,54.3,3.48
    TKT-0913,Feb,West Zone,Broadband,Slow Internet,Medium,SLA Breached,6.9,46.52,3.18
    TKT-0914,Mar,South Zone,Landline,No Signal,Low,SLA Breached,15.72,55.91,3.38
    TKT-0915,Oct,North Zone,Broadband,Billing Error,High,Resolved,18.37,48.94,3.24
    TKT-0916,Jul,North Zone,TV,Installation Delay,Low,Resolved,6.27,56.65,4.09
    TKT-0917,Apr,West Zone,Broadband,Dropped Calls,Low,Escalated,15.25,27.87,3.62
    TKT-0918,Jul,East Zone,TV,Dropped Calls,Medium,Resolved,16.21,36.68,3.45
    TKT-0919,Sep,East Zone,Mobile,Billing Error,Low,Resolved,16.89,36.24,3.24
    TKT-0920,Feb,North Zone,Mobile,No Signal,Medium,Resolved,8.31,64.57,3.63
    TKT-0921,Mar,East Zone,Broadband,No Signal,Low,In Progress,14.1,33.52,3.75
    TKT-0922,Sep,North Zone,TV,Slow Internet,Low,In Progress,7.17,39.27,4.51
    TKT-0923,Jan,North Zone,Broadband,Dropped Calls,High,SLA Breached,8.88,20.17,4.09
    TKT-0924,Apr,Central Zone,Mobile,Dropped Calls,High,In Progress,14.12,44.29,4.08
    TKT-0925,Jun,Central Zone,Landline,Billing Error,Medium,SLA Breached,6.75,49.55,3.47
    TKT-0926,Jul,West Zone,Broadband,Service Outage,High,Resolved,19.62,70.9,3.07
    TKT-0927,Aug,West Zone,Broadband,Billing Error,Low,Resolved,14.93,70.56,3.08
    TKT-0928,Jun,North Zone,TV,Dropped Calls,High,Resolved,7.87,57.4,3.33
    TKT-0929,Aug,East Zone,TV,No Signal,Low,Resolved,16.23,39.85,3.62
    TKT-0930,Nov,North Zone,Landline,Slow Internet,High,Resolved,19.17,39.78,3.53
    TKT-0931,Sep,North Zone,Mobile,Installation Delay,Medium,Escalated,17.28,72.26,3.12
    TKT-0932,Nov,South Zone,Broadband,Dropped Calls,High,In Progress,15.09,51.61,3.21
    TKT-0933,Sep,North Zone,Broadband,Installation Delay,Low,SLA Breached,6.7,37.02,3.17
    TKT-0934,Dec,West Zone,Mobile,Billing Error,Medium,Escalated,10.18,57.34,3.86
    TKT-0935,Jul,East Zone,Landline,Billing Error,Low,Resolved,18.95,76.34,2.8
    TKT-0936,Jul,Central Zone,Broadband,Installation Delay,Medium,In Progress,8.4,48.5,4.0
    TKT-0937,Jun,East Zone,Landline,No Signal,Low,Resolved,18.48,73.29,2.61
    TKT-0938,Jul,South Zone,Mobile,Billing Error,High,SLA Breached,11.43,50.71,3.46
    TKT-0939,Nov,South Zone,TV,Service Outage,Medium,In Progress,15.94,53.93,2.96
    TKT-0940,May,West Zone,Broadband,Dropped Calls,Low,SLA Breached,16.17,33.77,3.78
    TKT-0941,Jan,West Zone,Broadband,No Signal,Low,Escalated,17.88,59.57,3.0
    TKT-0942,Jun,North Zone,Broadband,No Signal,Low,Escalated,9.64,54.35,4.1
    TKT-0943,Oct,South Zone,Landline,Dropped Calls,Low,Escalated,6.09,55.6,3.57
    TKT-0944,Oct,South Zone,TV,Slow Internet,High,In Progress,10.74,35.97,4.19
    TKT-0945,Aug,West Zone,TV,Slow Internet,Medium,In Progress,17.77,67.69,3.25
    TKT-0946,Dec,Central Zone,Landline,Slow Internet,High,SLA Breached,15.63,66.82,3.35
    TKT-0947,Nov,North Zone,Mobile,No Signal,Medium,Escalated,8.46,33.02,4.11
    TKT-0948,Jan,South Zone,Mobile,Service Outage,High,Resolved,19.42,69.78,2.5
    TKT-0949,Apr,West Zone,Mobile,No Signal,High,In Progress,10.17,28.22,3.82
    TKT-0950,Feb,Central Zone,TV,Installation Delay,High,In Progress,6.7,45.21,3.88
    TKT-0951,Sep,Central Zone,Mobile,Slow Internet,Medium,Resolved,11.51,58.89,3.43
    TKT-0952,Jul,West Zone,Broadband,No Signal,High,In Progress,13.58,73.54,3.4
    TKT-0953,Dec,Central Zone,Broadband,Slow Internet,Low,SLA Breached,7.46,31.72,4.2
    TKT-0954,May,West Zone,Landline,Service Outage,Medium,SLA Breached,11.45,35.81,3.6
    TKT-0955,Oct,Central Zone,Broadband,Installation Delay,Medium,In Progress,7.07,38.38,3.36
    TKT-0956,Dec,Central Zone,Landline,Installation Delay,Low,Resolved,19.12,72.21,2.5
    TKT-0957,Jan,South Zone,TV,Dropped Calls,Medium,In Progress,6.87,22.2,4.62
    TKT-0958,Dec,Central Zone,TV,Slow Internet,High,In Progress,5.86,21.39,4.09
    TKT-0959,Oct,East Zone,Broadband,No Signal,Low,Resolved,16.09,47.41,3.78
    TKT-0960,May,North Zone,TV,Billing Error,High,In Progress,6.96,28.74,4.51
    TKT-0961,Jun,South Zone,Broadband,No Signal,High,In Progress,12.23,48.25,3.4
    TKT-0962,Feb,South Zone,Landline,Billing Error,High,Resolved,9.35,62.0,3.67
    TKT-0963,May,West Zone,Landline,Installation Delay,Medium,Resolved,7.35,35.68,4.36
    TKT-0964,Apr,West Zone,Broadband,Installation Delay,High,In Progress,6.82,21.09,4.19
    TKT-0965,Sep,East Zone,TV,Installation Delay,Low,SLA Breached,12.61,42.67,3.72
    TKT-0966,Jul,North Zone,TV,Dropped Calls,Low,Resolved,6.61,42.02,3.63
    TKT-0967,Sep,East Zone,Landline,Installation Delay,Medium,Resolved,19.37,33.26,4.04
    TKT-0968,Sep,South Zone,Mobile,Slow Internet,High,Escalated,11.41,58.05,3.37
    TKT-0969,Jun,South Zone,Landline,No Signal,High,SLA Breached,7.89,27.45,4.38
    TKT-0970,Sep,North Zone,Broadband,Installation Delay,Low,SLA Breached,11.98,69.14,2.99
    TKT-0971,Nov,West Zone,Broadband,Slow Internet,Low,In Progress,14.89,50.42,3.04
    TKT-0972,Feb,North Zone,Mobile,Installation Delay,Medium,In Progress,9.8,40.89,3.85
    TKT-0973,Mar,West Zone,Landline,No Signal,Low,SLA Breached,5.79,27.34,4.13
    TKT-0974,May,West Zone,Broadband,No Signal,Low,Resolved,9.38,28.02,3.96
    TKT-0975,Aug,West Zone,TV,Billing Error,Medium,Escalated,17.18,70.48,2.88
    TKT-0976,Dec,West Zone,TV,Dropped Calls,High,Resolved,10.73,34.82,3.97
    TKT-0977,Oct,South Zone,Broadband,Billing Error,Medium,Escalated,5.8,38.08,4.05
    TKT-0978,Feb,South Zone,Mobile,Service Outage,High,In Progress,13.89,50.77,3.64
    TKT-0979,Apr,North Zone,Broadband,Service Outage,Medium,Resolved,15.66,74.33,3.18
    TKT-0980,Nov,West Zone,TV,Dropped Calls,Medium,SLA Breached,11.2,35.84,3.62
    TKT-0981,Nov,North Zone,TV,Service Outage,High,In Progress,19.31,61.42,3.22
    TKT-0982,Jan,Central Zone,Mobile,Billing Error,Medium,In Progress,13.66,55.79,3.5
    TKT-0983,Sep,West Zone,TV,Dropped Calls,Low,In Progress,17.42,65.98,2.81
    TKT-0984,Sep,South Zone,Broadband,Dropped Calls,Low,Resolved,12.06,29.93,3.88
    TKT-0985,Apr,Central Zone,TV,Slow Internet,Medium,Escalated,6.25,62.68,3.1
    TKT-0986,Mar,South Zone,Broadband,Slow Internet,Low,Resolved,7.8,59.36,3.36
    TKT-0987,Jul,East Zone,Broadband,Dropped Calls,Low,Escalated,17.54,32.6,3.92
    TKT-0988,Sep,South Zone,Broadband,Installation Delay,Medium,Escalated,12.56,65.84,3.03
    TKT-0989,Sep,Central Zone,Landline,No Signal,Low,SLA Breached,16.21,53.74,3.16
    TKT-0990,Nov,West Zone,Mobile,Billing Error,High,SLA Breached,7.28,50.62,3.4
    TKT-0991,Oct,West Zone,Landline,Service Outage,High,Resolved,11.69,63.5,3.47
    TKT-0992,May,West Zone,Broadband,Billing Error,High,Resolved,12.59,23.49,4.48
    TKT-0993,Feb,North Zone,TV,Billing Error,High,In Progress,8.08,42.43,3.87
    TKT-0994,Mar,East Zone,TV,Slow Internet,Medium,In Progress,6.8,56.93,3.4
    TKT-0995,Jan,South Zone,Mobile,Slow Internet,Low,In Progress,9.26,41.09,4.09
    TKT-0996,Mar,South Zone,Mobile,No Signal,Medium,Escalated,12.83,23.5,3.34
    TKT-0997,Jul,West Zone,Mobile,Dropped Calls,Medium,Resolved,7.74,46.44,3.59
    TKT-0998,Jan,West Zone,TV,Dropped Calls,Medium,SLA Breached,5.49,45.0,3.36
    TKT-0999,Nov,East Zone,Mobile,Installation Delay,High,Escalated,6.36,62.52,3.87
    TKT-1000,Dec,South Zone,TV,Dropped Calls,Medium,Resolved,5.65,27.48,4.14
    TKT-1001,Jan,West Zone,Broadband,Service Outage,Low,In Progress,7.87,33.51,3.42
    TKT-1002,Oct,Central Zone,TV,Billing Error,Medium,Resolved,18.77,49.17,3.3
    TKT-1003,May,West Zone,Broadband,Billing Error,Low,Resolved,5.16,50.21,3.82
    TKT-1004,Aug,West Zone,Mobile,No Signal,Medium,In Progress,12.23,25.75,4.07
    TKT-1005,Jan,North Zone,Mobile,Installation Delay,Low,In Progress,9.24,42.28,4.12
    TKT-1006,Jun,South Zone,TV,Slow Internet,High,Resolved,19.76,66.57,2.76
    TKT-1007,Oct,East Zone,TV,Slow Internet,High,SLA Breached,13.57,25.89,3.45
    TKT-1008,Jun,Central Zone,Broadband,Slow Internet,Low,Resolved,8.59,32.62,3.6
    TKT-1009,Feb,East Zone,TV,Service Outage,Low,In Progress,9.72,48.77,3.88
    TKT-1010,Dec,Central Zone,TV,No Signal,High,SLA Breached,5.78,58.77,3.26
    TKT-1011,Jun,West Zone,Mobile,Dropped Calls,High,Escalated,18.3,47.22,3.42
    TKT-1012,Oct,Central Zone,Landline,Service Outage,Medium,SLA Breached,10.97,37.21,3.76
    TKT-1013,Apr,West Zone,Broadband,Dropped Calls,Low,Resolved,12.28,46.18,4.01
    TKT-1014,Sep,North Zone,Mobile,Installation Delay,Low,Escalated,12.3,47.55,3.63
    TKT-1015,Jul,East Zone,TV,Billing Error,High,Resolved,16.49,73.11,3.0
    TKT-1016,Oct,South Zone,Mobile,Service Outage,High,Resolved,9.4,43.93,3.65
    TKT-1017,Jul,East Zone,TV,Billing Error,Medium,Escalated,11.84,30.38,3.88
    TKT-1018,Jun,North Zone,Landline,No Signal,Low,Resolved,15.72,72.61,3.53
    TKT-1019,Nov,North Zone,TV,Service Outage,High,Escalated,13.11,71.51,2.97
    TKT-1020,Oct,West Zone,Broadband,Service Outage,Medium,Escalated,5.14,37.26,4.25
    TKT-1021,Dec,South Zone,Broadband,No Signal,Low,SLA Breached,12.1,52.76,3.4
    TKT-1022,Feb,West Zone,Mobile,No Signal,High,In Progress,5.84,39.85,3.79
    TKT-1023,Oct,North Zone,Landline,Billing Error,High,Resolved,18.72,41.98,3.45
    TKT-1024,Jan,West Zone,Landline,Installation Delay,High,Resolved,16.79,43.08,3.25
    TKT-1025,Jan,Central Zone,Mobile,Service Outage,High,Escalated,5.73,38.13,3.8
    TKT-1026,Oct,West Zone,Landline,Installation Delay,Low,In Progress,11.45,65.2,3.38
    TKT-1027,May,West Zone,Broadband,Slow Internet,High,Escalated,14.89,27.41,3.41
    TKT-1028,Sep,North Zone,Landline,Slow Internet,Low,SLA Breached,17.64,63.76,3.02
    TKT-1029,Jun,North Zone,Broadband,Slow Internet,High,SLA Breached,13.82,68.61,3.55
    TKT-1030,Feb,South Zone,Broadband,Slow Internet,Medium,SLA Breached,10.6,54.1,3.18
    TKT-1031,Dec,West Zone,Mobile,No Signal,Low,Resolved,12.2,42.32,3.74
    TKT-1032,Jan,East Zone,TV,Billing Error,Medium,SLA Breached,19.84,31.8,3.83
    TKT-1033,Feb,North Zone,Landline,Slow Internet,Medium,SLA Breached,12.98,47.1,3.68
    TKT-1034,Nov,South Zone,Broadband,Installation Delay,Low,Escalated,6.47,45.28,3.87
    TKT-1035,Sep,East Zone,Broadband,No Signal,High,Resolved,10.28,31.98,3.82
    TKT-1036,Apr,West Zone,Mobile,Service Outage,Low,Escalated,11.37,27.78,3.34
    TKT-1037,Mar,North Zone,Mobile,Service Outage,High,Escalated,16.66,54.49,3.19
    TKT-1038,Jan,Central Zone,Mobile,Service Outage,Low,In Progress,8.51,31.99,4.2
    TKT-1039,Dec,West Zone,TV,Dropped Calls,Medium,Resolved,15.98,33.69,3.63
    TKT-1040,Nov,South Zone,Mobile,Billing Error,Low,In Progress,14.06,30.11,3.45
    TKT-1041,Jul,East Zone,Mobile,Billing Error,High,Escalated,15.25,59.44,2.79
    TKT-1042,Jul,South Zone,Mobile,Installation Delay,Low,Escalated,6.42,65.21,3.59
    TKT-1043,Jan,Central Zone,Landline,Service Outage,Medium,Escalated,13.4,60.35,3.4
    TKT-1044,Oct,East Zone,Broadband,Slow Internet,Medium,Resolved,15.36,53.98,3.27
    TKT-1045,Jun,Central Zone,TV,Billing Error,Low,SLA Breached,12.44,39.08,4.31
    TKT-1046,Jan,Central Zone,TV,Dropped Calls,Medium,Escalated,9.57,28.66,4.31
    TKT-1047,Dec,South Zone,Landline,Dropped Calls,Medium,SLA Breached,11.24,44.7,3.93
    TKT-1048,Mar,South Zone,TV,Installation Delay,Low,In Progress,8.24,27.41,4.21
    TKT-1049,Oct,East Zone,Landline,Slow Internet,Low,Escalated,8.16,29.54,4.3
    TKT-1050,Oct,South Zone,Landline,Slow Internet,Medium,In Progress,14.67,41.65,3.69
    TKT-1051,Mar,Central Zone,Broadband,Billing Error,High,Resolved,6.74,43.56,4.43
    TKT-1052,Aug,East Zone,Broadband,Dropped Calls,Low,Escalated,14.12,44.36,3.69
    TKT-1053,Jun,East Zone,Mobile,Slow Internet,Medium,In Progress,14.16,26.17,3.82
    TKT-1054,Jun,North Zone,Landline,No Signal,Medium,Escalated,10.01,60.91,3.21
    TKT-1055,Jun,North Zone,Landline,Service Outage,High,Resolved,17.81,34.82,3.59
    TKT-1056,Nov,South Zone,Landline,Installation Delay,High,SLA Breached,6.22,52.04,3.82
    TKT-1057,Jan,South Zone,Broadband,Dropped Calls,Low,Resolved,17.11,32.58,4.1
    TKT-1058,Dec,South Zone,Landline,Dropped Calls,Low,Resolved,17.75,38.39,3.78
    TKT-1059,Aug,West Zone,Landline,Installation Delay,High,Resolved,9.14,58.76,3.35
    TKT-1060,Jul,South Zone,Broadband,Slow Internet,High,Resolved,5.34,20.98,4.71
    TKT-1061,Jul,South Zone,Mobile,Billing Error,Medium,SLA Breached,16.23,65.43,2.74
    TKT-1062,Oct,East Zone,Landline,Installation Delay,Medium,Resolved,14.19,53.46,3.68
    TKT-1063,Aug,North Zone,Broadband,Installation Delay,Low,SLA Breached,6.27,22.23,4.32
    TKT-1064,May,West Zone,Landline,Installation Delay,High,Resolved,9.39,63.13,3.94
    TKT-1065,Mar,West Zone,Mobile,Slow Internet,Medium,Resolved,5.7,54.68,3.59
    TKT-1066,Mar,East Zone,Mobile,Installation Delay,High,Escalated,8.83,52.61,3.84
    TKT-1067,Nov,Central Zone,Landline,Service Outage,Medium,SLA Breached,16.03,59.22,3.11
    TKT-1068,Jul,Central Zone,Landline,No Signal,High,In Progress,16.0,30.7,3.87
    TKT-1069,Apr,West Zone,Landline,Service Outage,High,In Progress,9.47,40.07,3.17
    TKT-1070,Jan,East Zone,Broadband,Service Outage,High,Resolved,6.8,43.53,4.0
    TKT-1071,Sep,Central Zone,Landline,Installation Delay,High,Escalated,14.13,46.35,3.49
    TKT-1072,Aug,East Zone,Mobile,Slow Internet,Medium,Resolved,9.57,28.37,4.01
    TKT-1073,Feb,Central Zone,TV,Slow Internet,Low,In Progress,17.61,69.99,2.83
    TKT-1074,Sep,East Zone,Broadband,Slow Internet,Medium,In Progress,8.68,41.1,3.79
    TKT-1075,Dec,North Zone,Broadband,No Signal,High,Resolved,17.92,56.21,3.02
    TKT-1076,Sep,South Zone,Landline,Billing Error,High,Resolved,11.09,26.72,4.26
    TKT-1077,Nov,West Zone,Broadband,Slow Internet,Medium,In Progress,19.75,63.12,2.99
    TKT-1078,Jul,East Zone,Mobile,Installation Delay,High,Resolved,9.99,41.9,3.89
    TKT-1079,May,Central Zone,Mobile,Slow Internet,Low,In Progress,8.0,33.98,4.25
    TKT-1080,May,East Zone,Mobile,No Signal,High,SLA Breached,16.29,63.96,3.07
    TKT-1081,Apr,Central Zone,Broadband,Dropped Calls,High,Escalated,17.75,64.06,3.19
    TKT-1082,Sep,North Zone,TV,Dropped Calls,Medium,In Progress,18.06,45.18,3.09
    TKT-1083,Aug,East Zone,Mobile,Billing Error,Medium,In Progress,16.24,74.47,2.93
    TKT-1084,Mar,East Zone,Broadband,Service Outage,Low,In Progress,16.21,41.8,3.28
    TKT-1085,Jun,North Zone,Broadband,Installation Delay,High,Escalated,8.85,48.5,3.69
    TKT-1086,Mar,Central Zone,Mobile,Billing Error,High,SLA Breached,15.67,30.67,3.57
    TKT-1087,Nov,West Zone,TV,Billing Error,Low,Escalated,5.1,39.08,4.3
    TKT-1088,Jun,South Zone,Landline,Dropped Calls,Low,Escalated,15.43,32.54,4.25
    TKT-1089,Mar,South Zone,Landline,No Signal,High,SLA Breached,6.64,44.99,3.41
    TKT-1090,Mar,East Zone,Landline,Service Outage,Low,SLA Breached,10.78,37.86,4.02
    TKT-1091,Jun,Central Zone,Broadband,Installation Delay,Low,Escalated,14.98,28.91,4.11
    TKT-1092,Oct,East Zone,Landline,Installation Delay,High,In Progress,7.57,54.65,3.61
    TKT-1093,Feb,South Zone,Broadband,Billing Error,High,SLA Breached,15.32,31.73,4.17
    TKT-1094,Jun,North Zone,Broadband,Installation Delay,Medium,In Progress,7.95,48.64,3.93
    TKT-1095,Aug,Central Zone,TV,No Signal,High,Resolved,19.74,56.13,2.92
    TKT-1096,Jul,Central Zone,Mobile,Slow Internet,High,SLA Breached,18.86,40.35,3.25
    TKT-1097,Oct,East Zone,Broadband,Service Outage,Low,Resolved,12.77,45.55,4.24
    TKT-1098,Jun,Central Zone,Broadband,Dropped Calls,High,Escalated,13.23,34.2,3.81
    TKT-1099,Apr,South Zone,TV,No Signal,High,Escalated,7.2,59.99,3.94
    TKT-1100,Jan,Central Zone,Broadband,Installation Delay,High,Escalated,6.73,22.08,4.12
    TKT-1101,Dec,West Zone,Mobile,Installation Delay,Low,Escalated,8.59,39.35,4.03
    TKT-1102,Sep,Central Zone,TV,Billing Error,Medium,Resolved,14.8,28.32,3.07
    TKT-1103,Feb,North Zone,Mobile,Installation Delay,Medium,Resolved,17.82,74.3,2.95
    TKT-1104,Apr,North Zone,Landline,Billing Error,Medium,Escalated,8.09,61.92,3.95
    TKT-1105,Jan,East Zone,Broadband,Service Outage,Medium,SLA Breached,10.75,64.2,3.91
    TKT-1106,Mar,East Zone,Mobile,Dropped Calls,Low,In Progress,12.41,28.33,3.32
    TKT-1107,Apr,North Zone,Mobile,Installation Delay,High,Escalated,16.85,41.64,4.28
    TKT-1108,Jul,Central Zone,Landline,Slow Internet,Low,Escalated,11.14,35.63,3.89
    TKT-1109,Oct,Central Zone,Landline,Billing Error,High,In Progress,10.62,29.77,3.89
    TKT-1110,Sep,South Zone,Landline,No Signal,Low,Resolved,9.93,50.47,3.67
    TKT-1111,Feb,West Zone,Mobile,Billing Error,High,SLA Breached,11.24,58.57,3.45
    TKT-1112,Mar,Central Zone,Mobile,No Signal,Low,Escalated,19.17,53.26,3.43
    TKT-1113,Jan,North Zone,TV,No Signal,High,In Progress,12.25,67.08,3.28
    TKT-1114,May,West Zone,TV,Installation Delay,High,Escalated,16.73,64.68,3.02
    TKT-1115,Dec,North Zone,TV,Dropped Calls,High,Escalated,10.92,45.53,3.76
    TKT-1116,Mar,North Zone,TV,Slow Internet,High,SLA Breached,16.53,48.87,3.07
    TKT-1117,Nov,Central Zone,Landline,Service Outage,High,Escalated,15.68,34.6,3.44
    TKT-1118,Nov,Central Zone,TV,Slow Internet,Medium,SLA Breached,16.54,56.38,3.37
    TKT-1119,Aug,North Zone,TV,No Signal,Low,Resolved,13.78,41.75,4.28
    TKT-1120,Oct,North Zone,Broadband,Slow Internet,High,Resolved,18.57,77.01,2.91
    TKT-1121,Dec,South Zone,TV,No Signal,High,In Progress,19.25,32.41,3.68
    TKT-1122,Mar,South Zone,TV,Billing Error,Low,In Progress,8.66,56.83,3.58
    TKT-1123,Apr,Central Zone,Landline,Billing Error,Low,SLA Breached,18.47,34.9,3.3
    TKT-1124,May,East Zone,Mobile,No Signal,High,In Progress,5.28,17.07,4.41
    TKT-1125,Jul,Central Zone,Broadband,Slow Internet,High,Resolved,5.28,28.81,4.12
    TKT-1126,Mar,East Zone,TV,Billing Error,Medium,Resolved,16.76,49.42,2.97
    TKT-1127,Jun,Central Zone,TV,Slow Internet,Medium,In Progress,18.7,59.13,2.92
    TKT-1128,Mar,East Zone,Landline,Slow Internet,Medium,SLA Breached,16.03,41.2,3.49
    TKT-1129,Nov,Central Zone,Broadband,Installation Delay,High,Escalated,10.46,58.29,3.25
    TKT-1130,Nov,South Zone,Broadband,Service Outage,High,Resolved,10.98,47.09,3.99
    TKT-1131,Jul,South Zone,Mobile,Service Outage,Medium,SLA Breached,18.41,53.3,3.07
    TKT-1132,Sep,West Zone,TV,Service Outage,Medium,Resolved,5.16,53.99,3.71
    TKT-1133,Jul,East Zone,Landline,Billing Error,Medium,Escalated,8.68,24.14,4.2
    TKT-1134,Feb,South Zone,TV,Billing Error,Low,Resolved,11.85,68.96,3.23
    TKT-1135,Oct,East Zone,Landline,Slow Internet,Medium,Resolved,15.61,27.17,3.81
    TKT-1136,Dec,Central Zone,Landline,Slow Internet,Low,In Progress,7.75,49.89,3.83
    TKT-1137,Jun,West Zone,TV,Billing Error,Medium,Escalated,7.55,65.83,3.53
    TKT-1138,Jan,North Zone,Landline,Installation Delay,Low,In Progress,6.95,52.72,3.88
    TKT-1139,Feb,Central Zone,TV,Slow Internet,Medium,In Progress,14.14,53.4,3.48
    TKT-1140,Jul,East Zone,Broadband,Billing Error,High,In Progress,6.58,50.73,4.52
    TKT-1141,Mar,North Zone,TV,Service Outage,Medium,SLA Breached,18.26,71.39,2.27
    TKT-1142,Jun,South Zone,TV,Dropped Calls,Low,SLA Breached,11.14,58.55,3.88
    TKT-1143,Jan,West Zone,TV,Installation Delay,Medium,SLA Breached,10.83,23.2,3.94
    TKT-1144,Mar,North Zone,Mobile,Billing Error,Medium,In Progress,16.56,51.54,2.93
    TKT-1145,Jun,East Zone,Mobile,Slow Internet,Medium,In Progress,9.97,56.99,3.27
    TKT-1146,Jun,North Zone,Landline,Installation Delay,Low,Resolved,15.19,74.44,3.16
    TKT-1147,Apr,North Zone,TV,Service Outage,High,Escalated,19.0,72.37,2.62
    TKT-1148,Feb,Central Zone,Mobile,Dropped Calls,Medium,Resolved,9.66,50.45,3.89
    TKT-1149,Jun,East Zone,Mobile,Installation Delay,High,In Progress,11.04,22.85,3.53
    TKT-1150,Jun,East Zone,Landline,No Signal,Low,Escalated,8.78,45.49,3.67
    TKT-1151,Apr,East Zone,Landline,No Signal,Low,In Progress,18.05,34.36,3.3
    TKT-1152,Mar,South Zone,Broadband,Slow Internet,High,Resolved,10.64,38.8,3.28
    TKT-1153,Jul,East Zone,Mobile,No Signal,High,Escalated,14.29,56.83,3.53
    TKT-1154,Jul,West Zone,Broadband,Service Outage,High,SLA Breached,7.97,24.68,4.41
    TKT-1155,Aug,North Zone,TV,Slow Internet,Low,Escalated,8.36,35.38,3.99
    TKT-1156,Jan,Central Zone,Broadband,Installation Delay,Medium,Escalated,18.1,47.85,3.22
    TKT-1157,May,South Zone,Mobile,Installation Delay,High,In Progress,9.75,53.62,3.43
    TKT-1158,Nov,East Zone,TV,Slow Internet,Medium,Resolved,10.66,53.86,4.07
    TKT-1159,Jan,North Zone,TV,Slow Internet,Medium,Escalated,7.36,26.06,4.82
    TKT-1160,Apr,South Zone,Landline,No Signal,Medium,Escalated,9.43,56.1,3.3
    TKT-1161,Oct,Central Zone,Mobile,Installation Delay,Low,Resolved,18.47,45.96,3.93
    TKT-1162,Nov,East Zone,Mobile,Billing Error,Low,SLA Breached,11.78,61.63,3.16
    TKT-1163,May,East Zone,Mobile,Dropped Calls,Medium,SLA Breached,5.74,16.01,4.09
    TKT-1164,Feb,Central Zone,Mobile,Service Outage,Low,Resolved,10.4,53.79,3.96
    TKT-1165,Mar,East Zone,Landline,Billing Error,Medium,In Progress,8.06,30.42,4.16
    TKT-1166,Aug,Central Zone,Landline,Service Outage,Low,Escalated,16.38,27.48,3.78
    TKT-1167,Dec,East Zone,TV,Installation Delay,Low,SLA Breached,10.48,51.05,3.94
    TKT-1168,Nov,Central Zone,Mobile,Dropped Calls,High,SLA Breached,16.13,51.62,2.95
    TKT-1169,Jan,North Zone,Broadband,Slow Internet,Medium,Resolved,8.39,19.65,4.0
